lon;lat;country
22;13;Sudan
22.5;12.5;Sudan
22.5;13;Sudan
22.5;13.5;Sudan
22.5;14;Sudan
22.5;14.5;Sudan
23;11;Sudan
23;11.5;Sudan
23;12;Sudan
23;12.5;Sudan
23;13;Sudan
23;13.5;Sudan
23;14;Sudan
23;14.5;Sudan
23;15;Sudan
23;15.5;Sudan
23.5;9;Sudan
23.5;10.5;Sudan
23.5;11;Sudan
23.5;11.5;Sudan
23.5;12;Sudan
23.5;12.5;Sudan
23.5;13;Sudan
23.5;13.5;Sudan
23.5;14;Sudan
23.5;14.5;Sudan
23.5;15;Sudan
23.5;15.5;Sudan
24;9;Sudan
24;9.5;Sudan
24;10;Sudan
24;10.5;Sudan
24;11;Sudan
24;11.5;Sudan
24;12;Sudan
24;12.5;Sudan
24;13;Sudan
24;13.5;Sudan
24;14;Sudan
24;14.5;Sudan
24;15;Sudan
24;15.5;Sudan
24.5;8.5;South Sudan
24.5;9;Sudan
24.5;9.5;Sudan
24.5;10;Sudan
24.5;10.5;Sudan
24.5;11;Sudan
24.5;11.5;Sudan
24.5;12;Sudan
24.5;12.5;Sudan
24.5;13;Sudan
24.5;13.5;Sudan
24.5;14;Sudan
24.5;14.5;Sudan
24.5;15;Sudan
24.5;15.5;Sudan
24.5;16;Sudan
24.5;16.5;Sudan
24.5;17;Sudan
24.5;17.5;Sudan
24.5;18;Sudan
24.5;18.5;Sudan
24.5;19;Sudan
24.5;19.5;Sudan
24.5;20;Sudan
25;8;South Sudan
25;8.5;South Sudan
25;9;South Sudan
25;9.5;South Sudan
25;10;South Sudan
25;10.5;Sudan
25;11;Sudan
25;11.5;Sudan
25;12;Sudan
25;12.5;Sudan
25;13;Sudan
25;13.5;Sudan
25;14;Sudan
25;14.5;Sudan
25;15;Sudan
25;15.5;Sudan
25;16;Sudan
25;16.5;Sudan
25;17;Sudan
25;17.5;Sudan
25;18;Sudan
25;18.5;Sudan
25;19;Sudan
25;19.5;Sudan
25;20;Sudan
25;20.5;Sudan
25;21;Sudan
25;21.5;Sudan
25.5;7.5;South Sudan
25.5;8;South Sudan
25.5;8.5;South Sudan
25.5;9;South Sudan
25.5;9.5;South Sudan
25.5;10;South Sudan
25.5;10.5;Sudan
25.5;11;Sudan
25.5;11.5;Sudan
25.5;12;Sudan
25.5;12.5;Sudan
25.5;13;Sudan
25.5;13.5;Sudan
25.5;14;Sudan
25.5;14.5;Sudan
25.5;15;Sudan
25.5;15.5;Sudan
25.5;16;Sudan
25.5;16.5;Sudan
25.5;17;Sudan
25.5;17.5;Sudan
25.5;18;Sudan
25.5;18.5;Sudan
25.5;19;Sudan
25.5;19.5;Sudan
25.5;20;Sudan
25.5;20.5;Sudan
25.5;21;Sudan
25.5;21.5;Sudan
25.5;22;Sudan
26;7.5;South Sudan
26;8;South Sudan
26;8.5;South Sudan
26;9;South Sudan
26;9.5;South Sudan
26;10;South Sudan
26;10.5;Sudan
26;11;Sudan
26;11.5;Sudan
26;12;Sudan
26;12.5;Sudan
26;13;Sudan
26;13.5;Sudan
26;14;Sudan
26;14.5;Sudan
26;15;Sudan
26;15.5;Sudan
26;16;Sudan
26;16.5;Sudan
26;17;Sudan
26;17.5;Sudan
26;18;Sudan
26;18.5;Sudan
26;19;Sudan
26;19.5;Sudan
26;20;Sudan
26;20.5;Sudan
26;21;Sudan
26;21.5;Sudan
26;22;Sudan
26.5;6.5;South Sudan
26.5;7;South Sudan
26.5;7.5;South Sudan
26.5;8;South Sudan
26.5;8.5;South Sudan
26.5;9;South Sudan
26.5;9.5;South Sudan
26.5;10;Sudan
26.5;10.5;Sudan
26.5;11;Sudan
26.5;11.5;Sudan
26.5;12;Sudan
26.5;12.5;Sudan
26.5;13;Sudan
26.5;13.5;Sudan
26.5;14;Sudan
26.5;14.5;Sudan
26.5;15;Sudan
26.5;15.5;Sudan
26.5;16;Sudan
26.5;16.5;Sudan
26.5;17;Sudan
26.5;17.5;Sudan
26.5;18;Sudan
26.5;18.5;Sudan
26.5;19;Sudan
26.5;19.5;Sudan
26.5;20;Sudan
26.5;20.5;Sudan
26.5;21;Sudan
26.5;21.5;Sudan
26.5;22;Sudan
27;6;South Sudan
27;6.5;South Sudan
27;7;South Sudan
27;7.5;South Sudan
27;8;South Sudan
27;8.5;South Sudan
27;9;South Sudan
27;9.5;South Sudan
27;10;Sudan
27;10.5;Sudan
27;11;Sudan
27;11.5;Sudan
27;12;Sudan
27;12.5;Sudan
27;13;Sudan
27;13.5;Sudan
27;14;Sudan
27;14.5;Sudan
27;15;Sudan
27;15.5;Sudan
27;16;Sudan
27;16.5;Sudan
27;17;Sudan
27;17.5;Sudan
27;18;Sudan
27;18.5;Sudan
27;19;Sudan
27;19.5;Sudan
27;20;Sudan
27;20.5;Sudan
27;21;Sudan
27;21.5;Sudan
27;22;Sudan
27.5;5;South Sudan
27.5;5.5;South Sudan
27.5;6;South Sudan
27.5;6.5;South Sudan
27.5;7;South Sudan
27.5;7.5;South Sudan
27.5;8;South Sudan
27.5;8.5;South Sudan
27.5;9;South Sudan
27.5;9.5;South Sudan
27.5;10;Sudan
27.5;10.5;Sudan
27.5;11;Sudan
27.5;11.5;Sudan
27.5;12;Sudan
27.5;12.5;Sudan
27.5;13;Sudan
27.5;13.5;Sudan
27.5;14;Sudan
27.5;14.5;Sudan
27.5;15;Sudan
27.5;15.5;Sudan
27.5;16;Sudan
27.5;16.5;Sudan
27.5;17;Sudan
27.5;17.5;Sudan
27.5;18;Sudan
27.5;18.5;Sudan
27.5;19;Sudan
27.5;19.5;Sudan
27.5;20;Sudan
27.5;20.5;Sudan
27.5;21;Sudan
27.5;21.5;Sudan
27.5;22;Sudan
28;5;South Sudan
28;5.5;South Sudan
28;6;South Sudan
28;6.5;South Sudan
28;7;South Sudan
28;7.5;South Sudan
28;8;South Sudan
28;8.5;South Sudan
28;9;South Sudan
28;9.5;Sudan
28;10;Sudan
28;10.5;Sudan
28;11;Sudan
28;11.5;Sudan
28;12;Sudan
28;12.5;Sudan
28;13;Sudan
28;13.5;Sudan
28;14;Sudan
28;14.5;Sudan
28;15;Sudan
28;15.5;Sudan
28;16;Sudan
28;16.5;Sudan
28;17;Sudan
28;17.5;Sudan
28;18;Sudan
